XGBoost_原始,XGBoost_特征选择后,LightGBM_原始,LightGBM_特征选择后,真实标签
2,2,2,2,2
1,1,1,1,1
2,1,1,1,2
1,1,2,1,1
2,2,2,2,2
2,2,2,2,2
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
2,2,2,2,2
0,0,0,0,0
0,0,0,0,0
2,2,2,2,2
2,2,2,2,2
0,0,0,0,0
2,2,2,2,2
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
2,2,2,2,2
1,2,1,1,2
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,2,2
2,2,2,2,2
1,1,1,1,1
0,0,0,0,0
2,2,2,2,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,2,2,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,2
2,2,2,2,2
1,1,1,1,1
